Order ID,Order Date,Customer Name,City,State,Area,Product Category,Sub-Category,Product Name,Quantity,Price Each,Discount,Revenue,Profit Margin,Profit,Total Revenue
ORD-100000,18-10-2024,Matthew Carpenter,Joneshaven,AR,West,Office Supplies,Binders,Ring Binder,7,20.93,0,146.51,0.12,17.58,146.51
ORD-100001,08-08-2024,Susan Marshall,North Anthony,TN,East,Office Supplies,Paper,Copy Paper Pack,7,3.7,0.15,22.02,0.05,1.1,168.53
ORD-100002,30-11-2024,Kyle English,South Marie,OR,West,Furniture,Chairs,Office Chair,2,286.06,0.15,486.3,0.25,121.58,654.83
ORD-100003,06-03-2023,Allison Walls,East Rebecca,IN,West,Office Supplies,Storage,Storage Box,10,30.99,0,309.9,0.07,21.69,964.73
ORD-100004,08-05-2024,Tracy Nguyen,Rogerland,WY,West,Office Supplies,Paper,Copy Paper Pack,3,7.59,0.2,18.22,0.15,2.73,982.95
ORD-100005,06-07-2024,Sheila Davis,Wumouth,DC,East,Furniture,Chairs,Office Chair,9,134.96,0.15,1032.44,0.22,227.14,2015.39
ORD-100006,25-06-2023,Curtis Martinez,South Tamaramouth,MO,West,Furniture,Bookcases,Wooden Bookcase,5,315.45,0,1577.25,0.19,299.68,3592.64
ORD-100007,08-06-2023,Eric Benson,North Wesleyland,VT,South,Office Supplies,Binders,Ring Binder,3,23.19,0,69.57,0.13,9.04,3662.21
ORD-100008,13-01-2024,Kathryn Lambert,Hortontown,KY,Central,Furniture,Tables,Dining Table,10,640.62,0,6406.2,0.17,,10068.41
ORD-100009,22-11-2023,Andrew Ortiz,Wilsonfort,SD,South,Furniture,Chairs,Office Chair,4,257.52,0.15,875.57,0.13,113.82,10943.98
ORD-100010,24-01-2023,Darius Rose,Roberttown,ME,East,Technology,Accessories,Wireless Mouse,8,69.89,0.1,503.21,0.23,115.74,11447.19
ORD-100011,19-04-2024,Bridget Johnson,,DE,West,Furniture,Tables,Dining Table,9,477.76,0,4299.84,0.16,687.97,15747.03
ORD-100012,31-08-2023,Taylor Dickerson,Diazborough,CT,West,Furniture,Tables,Dining Table,40,909.93,0.1,32757.48,0.21,458.6,48504.51
ORD-100013,13-05-2024,Karen Taylor,West Barbaraview,WV,Central,Technology,Accessories,Wireless Mouse,5,75.21,0.05,357.25,0.29,103.6,48861.76
ORD-100014,17-06-2024,Gary Henry,West Marissa,AL,South,Furniture,Bookcases,Wooden Bookcase,1,231.78,,231.78,0.21,48.67,49093.54
ORD-100015,10-07-2024,Victoria Newton,Livingstonton,KS,South,Office Supplies,Binders,Ring Binder,3,14.44,0,43.32,0.13,5.63,49136.86
ORD-100016,25-01-2023,Kelly Gardner,South Tammieville,AZ,Central,Furniture,Bookcases,Wooden Bookcase,7,220.22,0.1,1387.39,0.17,235.86,50524.25
ORD-100017,16-02-2024,Christopher Thompson,Brittanychester,NE,Central,Office Supplies,Storage,Storage Box,7,29.01,0.05,192.92,0.14,27.01,50717.17
ORD-100018,25-10-2024,Casey Miles,Lindatown,CT,West,Office Supplies,Binders,Ring Binder,4,23.86,0.05,90.67,0.14,12.69,50807.84
ORD-100019,01-03-2024,Sarah Hunter,Port David,MS,East,Furniture,Bookcases,Wooden Bookcase,9,252.75,0,2274.75,0.16,363.96,53082.59
ORD-100020,03-04-2024,Alexis Robertson,Zacharyville,VT,East,Technology,Phones,Smartphone,10,585.46,0,5854.6,0.29,1697.83,58937.19
ORD-100021,21-01-2024,Ryan Johnson,Port Michaelahaven,ND,Central,Furniture,Tables,Dining Table,9,790.81,0.15,6049.7,0.18,1088.95,64986.89
ORD-100022,26-04-2023,Christopher Jones,Rodriguezmouth,UT,Central,Technology,Laptops,Laptop,5,1769.41,0,8847.05,0.19,,73833.94
ORD-100023,05-11-2024,Lisa Mays,New Lauren,NV,Central,Furniture,Tables,Dining Table,8,721.81,0,5774.48,0.24,1385.88,79608.42
ORD-100024,27-12-2024,Belinda Neal,South William,IA,Central,Furniture,Bookcases,Wooden Bookcase,2,556.14,0,1112.28,0.14,,80720.7
ORD-100025,08-05-2024,Philip Daniels,North Daniel,AZ,West,Office Supplies,Storage,Storage Box,6,11.32,0,67.92,0.13,8.83,80788.62
ORD-100026,02-02-2023,Michael Perkins,New Christopherborough,CO,East,Office Supplies,Storage,Storage Box,10,49.43,0,494.3,0.09,44.49,81282.92
ORD-100027,12-10-2023,Lisa Walsh,Kyleville,PA,East,Office Supplies,Storage,Storage Box,6,24.71,0.05,140.85,0.06,8.45,81423.77
ORD-100028,07-12-2023,Stephen Hartman,Lake Amandafurt,AK,South,Furniture,Tables,Dining Table,1,390.43,0.05,370.91,0.23,85.31,81794.68
ORD-100029,14-06-2024,Dr. David Reeves MD,New John,IL,East,Technology,Laptops,Laptop,4,823.22,0.05,3128.24,0.18,563.08,84922.92
ORD-100030,21-11-2023,Brenda Henderson,Lake Henryville,NH,West,Office Supplies,Paper,Copy Paper Pack,1,7.77,0.05,7.38,0.16,1.18,84930.3
ORD-100031,12-10-2023,Ms. Danielle Gonzalez,,GA,Central,Furniture,Chairs,Office Chair,2,332.68,0.15,565.56,0.2,113.11,85495.86
ORD-100032,17-09-2023,Rebecca Figueroa,Berryton,OH,West,Technology,Accessories,Wireless Mouse,9,48.58,0,437.22,0.3,131.17,85933.08
ORD-100033,23-02-2024,Jennifer Stone,Brownmouth,KS,Central,Furniture,Bookcases,Wooden Bookcase,7,369.51,0,2586.57,0.23,594.91,88519.65
ORD-100034,27-08-2024,Rachel Richardson,New Maria,HI,South,Furniture,Bookcases,Wooden Bookcase,8,643.89,0.15,4378.45,0.22,963.26,92898.1
ORD-100035,21-08-2024,Becky Hill,Allenburgh,NC,South,Technology,Laptops,Laptop,3,1321.2,0.15,3369.06,0.3,1010.72,96267.16
ORD-100036,14-01-2024,Kristine Wright,Josechester,OH,East,Furniture,Tables,Dining Table,2,715.14,0.05,1358.77,0.21,285.34,97625.93
ORD-100037,08-04-2024,James Cortez,Maryview,OH,Central,Furniture,Bookcases,Wooden Bookcase,5,289.41,0,1447.05,0.21,303.88,99072.98
ORD-100038,12-05-2024,Jamie Robinson,South Angela,ND,South,Office Supplies,Storage,Storage Box,3,35.45,0,106.35,0.12,12.76,99179.33
ORD-100039,27-01-2024,Kimberly Combs,Robinsonstad,MI,Central,Office Supplies,Paper,Copy Paper Pack,8,10.57,0.1,76.1,0.12,9.13,99255.43
ORD-100040,20-01-2024,Jerry Reeves,Swansonshire,SD,South,Furniture,Chairs,Office Chair,5,172.94,0,864.7,0.22,,100120.13
ORD-100041,21-01-2024,Mark Benson,Justinton,TN,West,Furniture,Chairs,Office Chair,5,323.2,0.1,1454.4,0.15,218.16,101574.53
ORD-100042,17-06-2023,Ricardo Hall,Port Deborah,CA,East,Furniture,Bookcases,Wooden Bookcase,3,690.17,0,2070.51,0.13,269.17,103645.04
ORD-100043,03-04-2024,John Ward,West Michaelmouth,MN,West,Office Supplies,Paper,Copy Paper Pack,3,5.03,0.05,14.34,0.14,2.01,103659.38
ORD-100044,19-02-2023,Jeremy Robinson,Kennethport,OR,South,Technology,Accessories,Wireless Mouse,8,28.58,0.05,217.21,0.2,43.44,103876.59
ORD-100045,06-10-2023,Brittany Hanson,Barrettland,AK,West,Office Supplies,Paper,Copy Paper Pack,10,11.89,0.05,112.96,0.09,,103989.55
ORD-100046,04-11-2023,Mark Nguyen,Manuelborough,WY,West,Office Supplies,Storage,Storage Box,7,26.79,0,187.53,0.05,,104177.08
ORD-100047,13-02-2024,Bonnie Stanley,Whiteville,ID,Central,Office Supplies,Storage,Storage Box,4,41.93,0.05,159.33,0.18,28.68,104336.41
ORD-100048,02-09-2024,Paul Lee,North Eric,IN,West,Office Supplies,Paper,Copy Paper Pack,7,3.33,0.05,22.14,0.1,2.21,104358.55
ORD-100049,15-04-2024,Benjamin Martinez,Cesarberg,SD,East,Technology,Accessories,Wireless Mouse,10,50.27,0,502.7,0.24,,104861.25
ORD-100050,09-02-2024,Tom Hall,Port Lisa,WY,Central,Technology,Phones,Smartphone,6,712.29,0.05,4060.05,0.2,812.01,108921.3
ORD-100051,19-01-2023,Sherri Evans,Kristenland,VT,West,Office Supplies,Binders,Ring Binder,5,14.15,0.1,63.68,0.15,9.55,108984.98
ORD-100052,30-01-2023,Amanda Sanchez,West Michael,NM,East,Office Supplies,Paper,Copy Paper Pack,8,11.71,0.2,74.94,0.17,12.74,109059.92
ORD-100053,09-11-2023,Steven Taylor,,,East,Furniture,Tables,Dining Table,3,563.38,0,1690.14,0.24,405.63,110750.06
ORD-100054,06-07-2024,Hayley Blake,East Mary,DE,West,Office Supplies,Storage,Storage Box,9,37.54,0,337.86,0.09,30.41,111087.92
ORD-100055,14-10-2024,Jamie Sparks,West Riley,NJ,South,Office Supplies,Paper,Copy Paper Pack,6,11.58,0.05,66.01,0.16,10.56,111153.93
ORD-100056,07-08-2023,Bonnie Williamson,Tylerchester,SC,Central,Furniture,Chairs,Office Chair,5,260.7,0,1303.5,0.15,195.52,112457.43
ORD-100057,12-06-2023,Travis Martin,,ID,West,Technology,Phones,Smartphone,9,739.32,0,6653.88,0.16,1064.62,119111.31
ORD-100058,24-11-2024,Marvin Jones,Williamhaven,NH,West,Furniture,Bookcases,Wooden Bookcase,5,437.09,0,2185.45,0.17,371.53,121296.76
ORD-100059,19-07-2023,Elizabeth Osborne,New Andrewchester,LA,South,Furniture,Bookcases,Wooden Bookcase,5,399.25,0.05,1896.44,0.11,208.61,123193.2
ORD-100060,07-02-2023,Scott Schmidt,East Steve,NE,East,Furniture,Bookcases,Wooden Bookcase,10,666.72,0.05,6333.84,0.2,1266.77,129527.04
ORD-100061,04-10-2024,Erin Harris,West Cheryl,SD,South,Furniture,Bookcases,Wooden Bookcase,7,672.13,0.15,3999.17,0.22,879.82,133526.21
ORD-100062,30-08-2024,Margaret Stewart,Michaelbury,VT,Central,Office Supplies,Binders,Ring Binder,3,17.87,0,53.61,0.11,5.9,133579.82
ORD-100063,17-04-2024,Bradley Rubio,Hollyville,CO,South,Office Supplies,Storage,Storage Box,1,36.06,0,36.06,0.11,3.97,133615.88
ORD-100064,29-11-2024,John Webb,Thomastown,AK,East,Furniture,Bookcases,Wooden Bookcase,3,509.13,0,1527.39,0.16,244.38,135143.27
ORD-100065,14-10-2023,Michael Scott,,IA,South,Office Supplies,Paper,Copy Paper Pack,2,6.13,0,12.26,0.19,2.33,135155.53
ORD-100066,09-05-2023,April Moss,Whiteberg,MN,Central,Office Supplies,Storage,Storage Box,8,39.4,0.1,283.68,0.16,45.39,135439.21
ORD-100067,27-11-2023,Nathaniel Wiggins,Deborahville,,South,Technology,Laptops,Laptop,3,2186.71,0,6560.13,0.21,1377.63,141999.34
ORD-100068,18-05-2023,Dr. Jennifer Brown DDS,Roweland,NM,East,Furniture,Chairs,Office Chair,25,524.64,0.05,12460.2,0.14,116.3,154459.54
ORD-100069,31-08-2023,Jacqueline Chang,Alexandriamouth,WY,West,Furniture,Tables,Dining Table,1,603.15,0.1,542.84,0.23,124.85,155002.38
ORD-100070,27-09-2023,Carlos Smith,Sarafort,FL,East,Office Supplies,Storage,Storage Box,9,43.89,0,395.01,0.12,47.4,155397.39
ORD-100071,18-11-2024,Jessica Estrada,South Chelsea,UT,West,Office Supplies,Binders,Ring Binder,10,17.64,0,176.4,0.15,26.46,155573.79
ORD-100072,10-12-2023,Kyle Graham MD,Jessicastad,CT,West,Furniture,Bookcases,Wooden Bookcase,4,673.1,0.1,2423.16,0.24,581.56,157996.95
ORD-100073,27-12-2024,Phillip Lindsey,South Edwardtown,OH,West,Furniture,Chairs,Office Chair,10,221.55,0.15,1883.18,0.12,225.98,159880.13
ORD-100074,07-10-2023,April Moore,West Lisaport,CA,East,Technology,Phones,Smartphone,10,1085.87,0.15,9229.89,0.28,2584.37,169110.02
ORD-100075,20-07-2023,Jessica Campbell,Sullivantown,NY,South,Technology,Laptops,Laptop,9,1950.6,0.1,15799.86,0.16,2527.98,184909.88
ORD-100076,29-12-2024,Robert Smith,Watkinsmouth,MN,East,Furniture,Bookcases,Wooden Bookcase,1,640.18,0,640.18,0.19,121.63,185550.06
ORD-100077,25-03-2023,Sarah Edwards,North Linda,ME,South,Office Supplies,Storage,Storage Box,3,41.09,0.05,117.11,0.07,8.2,185667.17
ORD-100078,03-11-2024,Walter English,Delgadomouth,VT,South,Furniture,Tables,Dining Table,3,452.21,0,1356.63,0.21,284.89,187023.8
ORD-100079,01-10-2024,James Haynes,Joshuaport,MT,West,Furniture,Chairs,Office Chair,9,291.17,0.05,2489.5,0.16,398.32,189513.3
ORD-100080,03-12-2024,Bruce Lee,Denisemouth,ND,Central,Office Supplies,Paper,Copy Paper Pack,9,13.42,0,120.78,0.2,24.16,189634.08
ORD-100081,07-06-2024,Amanda King,Lake Jacquelinehaven,CO,South,Technology,Accessories,Wireless Mouse,5,17.82,0.15,75.74,0.29,21.96,189709.82
ORD-100082,28-02-2023,Emily Smith,New Ryan,TN,West,Office Supplies,Binders,Ring Binder,9,15.46,0.05,132.18,0.14,18.51,189842
ORD-100083,25-10-2024,Lindsay Washington,Port Stephen,DC,Central,Furniture,Tables,Dining Table,6,530.52,0.1,2864.81,0.24,687.55,192706.81
ORD-100084,08-08-2023,Michael Wilson,Gabrielaville,NJ,East,Furniture,Chairs,Office Chair,6,224.8,0.05,1281.36,0.13,166.58,193988.17
ORD-100085,31-10-2023,Tara Mercado,Johnbury,AK,South,Furniture,Bookcases,Wooden Bookcase,10,314.7,0,3147,0.14,440.58,197135.17
ORD-100086,10-01-2023,Jose Bowen,,LA,East,Furniture,Tables,Dining Table,1,467.86,0,467.86,0.14,65.5,197603.03
ORD-100087,10-12-2023,Laura Kelly,North Kathy,WV,East,Technology,Accessories,Wireless Mouse,3,68.46,0.15,174.57,0.26,45.39,197777.6
ORD-100088,25-07-2024,Kristin Hale,South Amyport,,West,Furniture,Tables,Dining Table,8,826,0.05,6277.6,0.16,1004.42,204055.2
ORD-100089,04-05-2024,Emily Harris,South Kathy,IN,West,Furniture,Bookcases,Wooden Bookcase,2,693.64,0,1387.28,0.16,221.96,205442.48
ORD-100090,22-12-2024,Michael Petersen,Lake Joshualand,IL,East,Furniture,Chairs,Office Chair,1,312.82,0,312.82,0.14,43.79,205755.3
